age,potential,player_positions,overall,high_rated,predicted_high_rated
33,93,539,93,1,1
35,92,587,92,1,1
27,93,213,91,1,1
31,91,560,91,1,1
28,91,331,91,1,1
29,91,10,91,1,1
21,95,594,90,1,1
28,93,213,90,1,1
28,91,55,90,1,1
27,91,213,90,1,1
28,90,330,90,1,1
28,90,501,90,1,1
28,90,213,89,1,1
32,89,560,89,1,1
34,89,55,89,1,1
32,89,142,89,1,1
34,89,213,89,1,1
28,89,86,89,1,1
26,91,213,88,1,1
25,90,356,88,1,1
25,90,108,88,1,1
26,89,560,88,1,1
26,89,120,88,1,1
35,88,213,88,1,1
30,88,149,88,1,1
29,88,363,88,1,1
29,88,55,88,1,1
29,88,95,88,1,1
20,93,459,87,1,1
21,92,384,87,1,1
25,90,10,87,1,1
26,90,55,87,1,1
26,89,86,87,1,1
26,89,215,87,1,1
25,88,503,87,1,1
35,87,55,87,1,1
33,87,213,87,1,1
33,87,560,87,1,1
34,87,149,87,1,1
32,87,516,87,1,1
30,87,213,87,1,1
31,87,587,87,1,1
31,87,86,87,1,1
30,87,560,87,1,1
33,87,213,87,1,1
29,87,574,87,1,1
27,87,269,87,1,1
28,87,119,87,1,1
27,88,55,86,1,1
27,87,164,86,1,1
27,87,164,86,1,1
32,86,9,86,1,1
33,86,55,86,1,1
34,86,10,86,1,1
31,86,213,86,1,1
31,86,55,86,1,1
30,86,95,86,1,1
31,86,215,86,1,1
30,86,39,86,1,1
29,86,213,86,1,1
28,86,384,86,1,1
33,86,560,86,1,1
21,93,34,85,1,1
21,92,213,85,1,1
20,92,55,85,1,1
22,91,322,85,1,1
24,90,259,85,1,1
23,90,149,85,1,1
26,89,58,85,1,1
25,89,55,85,1,1
25,89,165,85,1,1
25,89,55,85,1,1
26,88,133,85,1,1
24,88,560,85,1,1
24,88,95,85,1,1
28,87,213,85,1,1
24,87,468,85,1,1
26,87,384,85,1,1
27,86,560,85,1,1
27,86,12,85,1,1
27,86,560,85,1,1
27,86,41,85,1,1
35,85,55,85,1,1
33,85,142,85,1,1
30,85,164,85,1,1
29,85,149,85,1,1
34,85,55,85,1,1
31,85,55,85,1,1
33,85,55,85,1,1
30,85,213,85,1,1
31,85,4,85,1,1
30,85,384,85,1,1
29,85,164,85,1,1
31,85,149,85,1,1
28,85,15,85,1,1
29,85,230,85,1,1
28,85,199,85,1,1
29,85,338,85,1,1
29,85,530,85,1,1
19,92,560,84,1,1
22,91,560,84,1,1
23,90,356,84,1,1
24,89,55,84,1,1
23,89,149,84,1,1
25,88,164,84,1,1
24,88,215,84,1,1
24,88,560,84,1,1
24,88,10,84,1,1
24,88,313,84,1,1
25,88,55,84,1,1
24,88,213,84,1,1
23,88,95,84,1,1
25,87,183,84,1,1
29,85,213,84,1,1
28,85,55,84,1,1
26,85,215,84,1,1
26,85,284,84,1,1
27,85,149,84,1,1
27,85,215,84,1,1
